trip_id,waktu,latitude,longitude,kecepatan_kmh,jarak_km
1,2025-03-03 00:49:00,-6.120271,106.893547,52.1,0.43426
1,2025-03-03 00:49:30,-6.11757,106.893054,58.9,0.49052
1,2025-03-03 00:50:00,-6.121689,106.893228,55.0,0.45841
1,2025-03-03 00:50:30,-6.125744,106.893399,54.1,0.4512
1,2025-03-03 00:51:00,-6.129994,106.893433,56.9,0.47418
1,2025-03-03 00:51:30,-6.130698,106.890921,44.7,0.3728
1,2025-03-03 00:52:00,-6.128808,106.88798,46.5,0.38718
1,2025-03-03 00:52:30,-6.126886,106.884158,57.1,0.47587
1,2025-03-03 00:53:00,-6.125893,106.880414,51.6,0.42994
1,2025-03-03 00:53:30,-6.125124,106.876564,52.1,0.43415
1,2025-03-03 00:54:00,-6.124475,106.873317,43.9,0.36619
1,2025-03-03 00:54:30,-6.123619,106.869037,57.9,0.48265
1,2025-03-03 00:55:00,-6.122814,106.86501,54.5,0.45414
1,2025-03-03 00:55:30,-6.122076,106.861322,49.9,0.41593
1,2025-03-03 00:56:00,-6.123001,106.857937,47.0,0.3918
1,2025-03-03 00:56:30,-6.12473,106.854069,56.3,0.46884
1,2025-03-03 00:57:00,-6.126078,106.850378,52.3,0.43563
1,2025-03-03 00:57:30,-6.126823,106.84718,43.6,0.36328
1,2025-03-03 00:58:00,-6.127648,106.843442,50.8,0.42334
1,2025-03-03 00:58:30,-6.128762,106.839583,53.3,0.44429
1,2025-03-03 00:59:00,-6.129522,106.835349,57.1,0.47566
1,2025-03-03 00:59:30,-6.130139,106.831617,50.2,0.4185
1,2025-03-03 01:00:00,-6.130529,106.827353,56.8,0.47361
1,2025-03-03 01:00:30,-6.1313,106.822876,60.3,0.50241
1,2025-03-03 01:01:00,-6.131527,106.818733,56.1,0.46779
1,2025-03-03 01:01:30,-6.129663,106.814879,57.3,0.47766
1,2025-03-03 01:02:00,-6.130197,106.810621,57.7,0.48075
1,2025-03-03 01:02:30,-6.131169,106.806758,52.9,0.44054
1,2025-03-03 01:03:00,-6.131829,106.803221,47.8,0.39824
1,2025-03-03 01:03:30,-6.132119,106.798855,58.1,0.48433
1,2025-03-03 01:04:00,-6.132294,106.794517,57.6,0.47999
1,2025-03-03 01:04:30,-6.132162,106.790601,52.2,0.435
1,2025-03-03 01:05:00,-6.131708,106.78739,43.0,0.35853
1,2025-03-03 01:05:30,-6.131071,106.784102,44.7,0.37221
1,2025-03-03 01:06:00,-6.129584,106.781091,44.9,0.37455
1,2025-03-03 01:06:30,-6.126494,106.777893,59.3,0.49421
1,2025-03-03 01:07:00,-6.12343,106.775899,48.9,0.40732
1,2025-03-03 01:07:30,-6.121614,106.77284,50.9,0.4244
1,2025-03-03 01:08:00,-6.121489,106.769554,43.6,0.36352
1,2025-03-03 01:08:30,-6.122,106.766269,44.2,0.36812
1,2025-03-03 01:09:00,-6.122326,106.762478,50.5,0.42075
1,2025-03-03 01:09:30,-6.1226,106.758052,58.9,0.49088
1,2025-03-03 01:10:00,-6.122434,106.753528,60.1,0.50046
1,2025-03-03 01:10:30,-6.122282,106.749381,55.1,0.45879
1,2025-03-03 01:11:00,-6.122143,106.745613,50.0,0.41691
1,2025-03-03 01:11:30,-6.120656,106.741577,57.5,0.47951
1,2025-03-03 01:12:00,-6.11931,106.738401,45.8,0.38183
1,2025-03-03 01:12:30,-6.117409,106.735629,45.1,0.37621
1,2025-03-03 01:13:00,-6.116365,106.732937,48.2,0.4016
1,2025-03-03 01:13:30,-6.120031,106.73209,51.6,0.4303
1,2025-03-03 01:14:00,-6.122969,106.730513,44.4,0.3703
1,2025-03-03 01:14:30,-6.126438,106.729773,47.7,0.39777
1,2025-03-03 01:15:00,-6.130481,106.72986,54.0,0.45007
1,2025-03-03 01:15:30,-6.133981,106.729904,46.7,0.38951
1,2025-03-03 01:16:00,-6.137935,106.72973,52.8,0.44012
1,2025-03-03 01:16:30,-6.141672,106.72918,50.5,0.42123
1,2025-03-03 01:17:00,-6.146072,106.728254,60.0,0.49982
1,2025-03-03 01:17:30,-6.150007,106.727425,53.7,0.44709
1,2025-03-03 01:18:00,-6.153634,106.727283,48.6,0.40503
1,2025-03-03 01:18:30,-6.157995,106.72697,58.4,0.48672
1,2025-03-03 01:19:00,-6.162437,106.727053,59.3,0.49414
1,2025-03-03 01:19:30,-6.166204,106.727162,50.3,0.41917
1,2025-03-03 01:20:00,-6.170611,106.727572,59.1,0.49213
1,2025-03-03 01:20:30,-6.175056,106.727986,59.6,0.49639
1,2025-03-03 01:21:00,-6.178801,106.728384,50.3,0.41903
1,2025-03-03 01:21:30,-6.183146,106.729427,59.6,0.49671
1,2025-03-03 01:22:00,-6.186655,106.730149,47.8,0.39873
1,2025-03-03 01:22:30,-6.190486,106.729067,59.1,0.49221
1,2025-03-03 01:23:00,-6.190528,106.725126,53.2,0.44364
1,2025-03-03 01:23:30,-6.191371,106.720772,59.1,0.49269
1,2025-03-03 01:24:00,-6.193411,106.71702,57.0,0.47481
1,2025-03-03 01:24:30,-6.196033,106.71365,56.8,0.47298
1,2025-03-03 01:25:00,-6.198335,106.710691,49.9,0.41542
1,2025-03-03 01:25:30,-6.200701,106.707651,51.2,0.42679
1,2025-03-03 01:26:00,-6.203137,106.70452,52.7,0.43947
1,2025-03-03 01:26:30,-6.205508,106.701472,51.3,0.42782
1,2025-03-03 01:27:00,-6.208098,106.697957,58.1,0.48441
1,2025-03-03 01:27:30,-6.209921,106.694565,51.2,0.42703
1,2025-03-03 01:28:00,-6.21096,106.691309,45.4,0.37844
1,2025-03-03 01:28:30,-6.212115,106.687142,57.4,0.4782
1,2025-03-03 01:29:00,-6.213286,106.68292,58.2,0.48459
1,2025-03-03 01:29:30,-6.21449,106.67858,59.8,0.49806
1,2025-03-03 01:30:00,-6.215417,106.675236,46.1,0.38378
1,2025-03-03 01:30:30,-6.216365,106.671819,47.0,0.39206
1,2025-03-03 01:31:00,-6.217369,106.668199,49.9,0.41549
1,2025-03-03 01:31:30,-6.218166,106.664496,50.4,0.41967
1,2025-03-03 01:32:00,-6.218701,106.660754,50.2,0.41794
1,2025-03-03 01:32:30,-6.219307,106.656521,56.7,0.47273
1,2025-03-03 01:33:00,-6.219945,106.652061,59.8,0.49805
1,2025-03-03 01:33:30,-6.220541,106.647891,55.9,0.46572
1,2025-03-03 01:34:00,-6.221164,106.643539,58.3,0.48599
1,2025-03-03 01:34:30,-6.221753,106.639415,55.3,0.46057
1,2025-03-03 01:35:00,-6.222215,106.636185,43.3,0.36072
1,2025-03-03 01:35:30,-6.22278,106.632238,52.9,0.4408
